country,iso3,wave1,score,tier,tier2_upper,accreditation,acc_pts,metrology,met_pts,standards,std_pts,legal_metrology,oiml_pts,regional,reg_pts,gqii2025_rank,gqii_tercile_africa,qi4sd2024_score,qi4sd2024_rank
Namibia,NAM,,8.5,2,upper,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,"CGPM Associate, 7 CMCs in KCDB",3.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,95,top,32,27/48 M
Niger,NER,,4.0,2,,"Covered by SOAC/WAAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO correspondent member,1.0,None,0.0,ARSO+AFRIMETS,1.0,133,middle,24,45/48 M
Nigeria,NGA,,8.5,3,,Own ILAC MRA signatory (NiNAS),3.0,"CGPM Associate, no CMCs yet",2.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,84,top,15,48/48 L
Rwanda,RWA,,4.5,2,,AFRAC associate member,1.0,None,0.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,131,middle,27,36/48 M
Sahrawi Arab Democratic Republic,ESH,,0.0,1,,None,0.0,None,0.0,Not an ISO member,0.0,None,0.0,None,0.0,not ranked,not ranked,not published,
Sao Tome and Principe,STP,,1.0,1,,None,0.0,None,0.0,ISO correspondent member,1.0,None,0.0,None,0.0,not ranked,not ranked,not published,
Senegal,SEN,,5.0,2,,"Covered by SOAC/WAAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO member body,2.0,None,0.0,ARSO+AFRIMETS,1.0,100,top,27,40/48 M
Seychelles,SYC,,4.5,2,,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO correspondent member,1.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,128,middle,37,1/18 S
Sierra Leone,SLE,,2.5,1,,None,0.0,None,0.0,ISO correspondent member,1.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,169,bottom,22,7/18 S
Somalia,SOM,,2.5,1,,None,0.0,None,0.0,ISO member body,2.0,None,0.0,ARSO,0.5,150,bottom,not published,
South Africa,ZAF,,10.0,3,,Own ILAC MRA signatory (SANAS),3.0,BIPM Member State,3.0,ISO member body,2.0,OIML Member State,1.0,ARSO+AFRIMETS,1.0,19,top,66,3/48 L
South Sudan,SSD,,2.0,1,,None,0.0,None,0.0,ISO correspondent member,1.0,None,0.0,ARSO+AFRIMETS,1.0,165,bottom,not published,
Sudan,SDN,,3.5,2,,None,0.0,None,0.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,138,middle,not published,
Tanzania,TZA,,9.0,2,upper,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,"CGPM Associate, 18 CMCs in KCDB",3.0,ISO member body,2.0,OIML Member State,1.0,ARSO+AFRIMETS,1.0,82,top,43,9/48 M
Togo,TGO,,5.0,2,,"Covered by SOAC/WAAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO member body,2.0,None,0.0,ARSO+AFRIMETS,1.0,113,middle,27,5/18 S
Tunisia,TUN,Yes,10.0,3,,Own ILAC MRA signatory (TUNAC),3.0,BIPM Member State,3.0,ISO member body,2.0,OIML Member State,1.0,ARSO+AFRIMETS,1.0,61,top,51,1/48 M
Uganda,UGA,Yes,4.5,2,,AFRAC associate member,1.0,None,0.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,108,middle,29,32/48 M
Zambia,ZMB,Yes,8.5,2,upper,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,"CGPM Associate, 15 CMCs in KCDB",3.0,ISO member body,2.0,OIML Member State,1.0,ARSO,0.5,94,top,36,14/48 M
Zimbabwe,ZWE,Yes,8.0,2,upper,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,"CGPM Associate, 23 CMCs in KCDB",3.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO,0.5,87,top,29,31/48 M
